event,confirm,exit,min_hold,filter,n_trades,n_weeks,t_stat,win_rate,cagr,maxdd,calmar,by_year
tm21_15,none,hold30,0,mkt_ma20,780,91,0.02,57.3,2.0,-7.32,0.273,"{""2021"": 5.1, ""2022"": -0.6, ""2023"": -0.7, ""2024"": 3.9}"
tm21_15,none,hold30,10,none,2024,175,2.1,58.3,6.03,-9.3,0.649,"{""2021"": 11.0, ""2022"": 5.5, ""2023"": 1.2, ""2024"": 5.4}"
tm21_15,none,hold30,10,mkt_ma60,717,66,1.52,65.6,3.48,-2.91,1.196,"{""2021"": 6.7, ""2022"": -0.8, ""2023"": 0.5, ""2024"": 6.8}"
tm21_15,none,hold30,10,mkt_ma20,780,91,0.02,57.3,2.0,-7.32,0.273,"{""2021"": 5.1, ""2022"": -0.6, ""2023"": -0.7, ""2024"": 3.9}"
tm21_15,none,hold30,20,none,2024,175,2.1,58.3,6.03,-9.3,0.649,"{""2021"": 11.0, ""2022"": 5.5, ""2023"": 1.2, ""2024"": 5.4}"
tm21_15,none,hold30,20,mkt_ma60,717,66,1.52,65.6,3.48,-2.91,1.196,"{""2021"": 6.7, ""2022"": -0.8, ""2023"": 0.5, ""2024"": 6.8}"
tm21_15,none,hold30,20,mkt_ma20,780,91,0.02,57.3,2.0,-7.32,0.273,"{""2021"": 5.1, ""2022"": -0.6, ""2023"": -0.7, ""2024"": 3.9}"
tm21_15,none,zhz_break,0,none,0,0,0.0,0.0,4.93,-30.36,0.162,"{""2021"": 28.8, ""2022"": -10.9, ""2023"": 3.5, ""2024"": -2.2}"
tm21_15,none,zhz_break,0,mkt_ma60,0,0,0.0,0.0,4.75,-26.66,0.178,"{""2021"": 23.7, ""2022"": -8.5, ""2023"": 2.0, ""2024"": 0.5}"
tm21_15,none,zhz_break,0,mkt_ma20,0,0,0.0,0.0,4.7,-27.65,0.17,"{""2021"": 24.4, ""2022"": -8.6, ""2023"": 2.1, ""2024"": -0.3}"
tm21_15,none,zhz_break,10,none,0,0,0.0,0.0,4.93,-30.36,0.162,"{""2021"": 28.8, ""2022"": -10.9, ""2023"": 3.5, ""2024"": -2.2}"
tm21_15,none,zhz_break,10,mkt_ma60,0,0,0.0,0.0,4.75,-26.66,0.178,"{""2021"": 23.7, ""2022"": -8.5, ""2023"": 2.0, ""2024"": 0.5}"
tm21_15,none,zhz_break,10,mkt_ma20,0,0,0.0,0.0,4.7,-27.65,0.17,"{""2021"": 24.4, ""2022"": -8.6, ""2023"": 2.1, ""2024"": -0.3}"
tm21_15,ma20_w5,guanbian_dn,10,mkt_ma60,538,64,-0.13,55.0,1.24,-2.68,0.462,"{""2021"": 1.7, ""2022"": -0.1, ""2023"": 0.2, ""2024"": 2.9}"
tm21_15,ma20_w5,guanbian_dn,10,mkt_ma20,599,80,-0.16,51.4,0.9,-2.79,0.324,"{""2021"": 1.3, ""2022"": -0.2, ""2023"": -0.1, ""2024"": 2.5}"
tm21_15,ma20_w5,guanbian_dn,20,none,1269,166,-0.08,53.4,2.23,-5.05,0.441,"{""2021"": 3.8, ""2022"": 1.6, ""2023"": 0.4, ""2024"": 2.8}"
tm21_15,ma20_w5,guanbian_dn,20,mkt_ma60,534,62,-0.24,58.4,1.24,-3.04,0.408,"{""2021"": 2.1, ""2022"": -0.2, ""2023"": 0.1, ""2024"": 2.7}"
tm21_15,ma20_w5,guanbian_dn,20,mkt_ma20,597,79,-0.81,53.4,0.66,-3.26,0.201,"{""2021"": 1.6, ""2022"": -0.2, ""2023"": -0.5, ""2024"": 1.6}"
tm21_15,ma20_w5,trend_dn,0,none,0,0,0.0,0.0,3.42,-26.76,0.128,"{""2021"": 17.5, ""2022"": -7.6, ""2023"": 4.6, ""2024"": -2.5}"
tm21_15,ma20_w5,trend_dn,0,mkt_ma60,0,0,0.0,0.0,3.57,-21.45,0.167,"{""2021"": 14.2, ""2022"": -5.0, ""2023"": 3.0, ""2024"": 0.2}"
tm21_15,ma20_w5,trend_dn,0,mkt_ma20,0,0,0.0,0.0,3.25,-22.44,0.145,"{""2021"": 14.0, ""2022"": -5.3, ""2023"": 2.6, ""2024"": -0.1}"
tm21_15,none,giveback,10,mkt_ma20,379,58,15.06,99.7,4.64,-18.0,0.258,"{""2021"": 18.5, ""2022"": -4.6, ""2023"": -0.5, ""2024"": 4.7}"
tm21_15,none,giveback,20,none,624,119,12.77,99.8,7.43,-25.69,0.289,"{""2021"": 25.9, ""2022"": -4.4, ""2023"": 3.5, ""2024"": 2.8}"
tm21_15,none,giveback,20,mkt_ma60,401,45,10.25,99.8,5.26,-12.94,0.407,"{""2021"": 18.1, ""2022"": -4.2, ""2023"": -0.6, ""2024"": 6.8}"
tm21_15,none,giveback,20,mkt_ma20,379,58,15.06,99.7,4.64,-18.0,0.258,"{""2021"": 18.5, ""2022"": -4.6, ""2023"": -0.5, ""2024"": 4.7}"
tm21_15,ma20_w5,guanbian_dn,0,none,1294,169,-2.25,44.4,1.34,-3.84,0.349,"{""2021"": 2.4, ""2022"": 0.7, ""2023"": 0.3, ""2024"": 1.8}"
tm21_15,ma20_w5,guanbian_dn,0,mkt_ma60,541,64,0.06,53.2,1.21,-2.68,0.452,"{""2021"": 1.7, ""2022"": -0.3, ""2023"": 0.2, ""2024"": 3.0}"
tm21_15,ma20_w5,guanbian_dn,0,mkt_ma20,600,80,-0.25,49.2,0.84,-2.72,0.309,"{""2021"": 1.1, ""2022"": -0.0, ""2023"": -0.2, ""2024"": 2.4}"
tm21_15,ma20_w5,guanbian_dn,10,none,1288,169,-1.24,48.8,1.79,-4.1,0.438,"{""2021"": 2.7, ""2022"": 1.0, ""2023"": 0.6, ""2024"": 2.7}"
tm21_15,none,zhz_break,20,none,0,0,0.0,0.0,4.93,-30.36,0.162,"{""2021"": 28.8, ""2022"": -10.9, ""2023"": 3.5, ""2024"": -2.2}"
tm21_15,none,zhz_break,20,mkt_ma60,0,0,0.0,0.0,4.75,-26.66,0.178,"{""2021"": 23.7, ""2022"": -8.5, ""2023"": 2.0, ""2024"": 0.5}"
tm21_15,none,zhz_break,20,mkt_ma20,0,0,0.0,0.0,4.7,-27.65,0.17,"{""2021"": 24.4, ""2022"": -8.6, ""2023"": 2.1, ""2024"": -0.3}"
tm21_15,none,giveback,0,none,624,119,12.77,99.8,7.43,-25.69,0.289,"{""2021"": 25.9, ""2022"": -4.4, ""2023"": 3.5, ""2024"": 2.8}"
tm21_15,none,giveback,0,mkt_ma60,401,45,10.25,99.8,5.26,-12.94,0.407,"{""2021"": 18.1, ""2022"": -4.2, ""2023"": -0.6, ""2024"": 6.8}"
tm21_15,none,giveback,0,mkt_ma20,379,58,15.06,99.7,4.64,-18.0,0.258,"{""2021"": 18.5, ""2022"": -4.6, ""2023"": -0.5, ""2024"": 4.7}"
tm21_15,none,giveback,10,none,624,119,12.77,99.8,7.43,-25.69,0.289,"{""2021"": 25.9, ""2022"": -4.4, ""2023"": 3.5, ""2024"": 2.8}"
tm21_15,none,giveback,10,mkt_ma60,401,45,10.25,99.8,5.26,-12.94,0.407,"{""2021"": 18.1, ""2022"": -4.2, ""2023"": -0.6, ""2024"": 6.8}"
tm21_15,ma20_w5,trend_dn,10,none,0,0,0.0,0.0,3.42,-26.76,0.128,"{""2021"": 17.5, ""2022"": -7.6, ""2023"": 4.6, ""2024"": -2.5}"
tm21_15,ma20_w5,trend_dn,10,mkt_ma60,0,0,0.0,0.0,3.57,-21.45,0.167,"{""2021"": 14.2, ""2022"": -5.0, ""2023"": 3.0, ""2024"": 0.2}"
