period,strategy,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,vs_bh
second_half,exit_hold_line_disappear,300474,景嘉微,算力芯片/GPU/CPU设计,4,50.0,1.43,-12.25,0.12,0.1,14.5,-32.05,33.48
second_half,exit_shou_cang_disappear,300474,景嘉微,算力芯片/GPU/CPU设计,5,0.0,-12.41,-13.01,-0.95,-2.35,3.2,-32.05,19.64
second_half,exit_mu_ma_disappear,300474,景嘉微,算力芯片/GPU/CPU设计,5,20.0,-9.18,-14.06,-0.65,-1.5,8.2,-32.05,22.87
second_half,exit_cao_pan_disappear,300474,景嘉微,算力芯片/GPU/CPU设计,5,0.0,-14.26,-14.85,-0.96,-2.76,3.0,-32.05,17.79
second_half,exit_trend_down,300474,景嘉微,算力芯片/GPU/CPU设计,0,0.0,-25.09,-35.81,0.0,0.0,0.0,-32.05,6.96
second_half,exit_hold_or_trend_down,300474,景嘉微,算力芯片/GPU/CPU设计,4,50.0,1.43,-12.25,0.12,0.1,14.5,-32.05,33.48
second_half,exit_mu_ma_or_hold,300474,景嘉微,算力芯片/GPU/CPU设计,5,20.0,-9.18,-14.06,-0.65,-1.5,8.2,-32.05,22.87
second_half,exit_cao_pan_or_hold,300474,景嘉微,算力芯片/GPU/CPU设计,5,0.0,-14.26,-14.85,-0.96,-2.76,3.0,-32.05,17.79
second_half,exit_shou_cang_or_hold,300474,景嘉微,算力芯片/GPU/CPU设计,5,0.0,-14.26,-14.85,-0.96,-2.76,3.0,-32.05,17.79
full,exit_hold_line_disappear,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,8,37.5,16.53,-27.65,0.6,0.95,14.1,2.4,14.13
full,exit_shou_cang_disappear,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,8,37.5,-3.78,-29.53,-0.13,0.1,7.2,2.4,-6.18
full,exit_mu_ma_disappear,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,9,11.11,-25.12,-25.12,-1.0,-2.89,3.7,2.4,-27.52
full,exit_cao_pan_disappear,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,9,22.22,-23.22,-23.22,-1.0,-2.61,3.0,2.4,-25.62
full,exit_trend_down,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,0,0.0,19.38,-45.84,0.0,0.0,0.0,2.4,16.98
full,exit_hold_or_trend_down,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,8,37.5,16.53,-27.65,0.6,0.95,14.1,2.4,14.13
full,exit_mu_ma_or_hold,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,9,11.11,-25.12,-25.12,-1.0,-2.89,3.7,2.4,-27.52
full,exit_cao_pan_or_hold,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,9,22.22,-23.22,-23.22,-1.0,-2.61,3.0,2.4,-25.62
full,exit_shou_cang_or_hold,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,9,33.33,-9.19,-33.49,-0.27,-0.53,5.0,2.4,-11.59
first_half,exit_hold_line_disappear,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,50.0,17.68,-14.76,1.2,9.29,15.0,23.28,-5.6
first_half,exit_shou_cang_disappear,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,50.0,16.91,-14.38,1.18,9.1,15.0,23.28,-6.37
first_half,exit_mu_ma_disappear,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,0.0,-7.4,-7.4,-1.0,-3.52,3.0,23.28,-30.68
first_half,exit_cao_pan_disappear,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,0.0,-7.4,-7.4,-1.0,-3.52,3.0,23.28,-30.68
first_half,exit_trend_down,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,0,0.0,43.65,-27.24,0.0,0.0,0.0,23.28,20.37
first_half,exit_hold_or_trend_down,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,50.0,17.68,-14.76,1.2,9.29,15.0,23.28,-5.6
first_half,exit_mu_ma_or_hold,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,0.0,-7.4,-7.4,-1.0,-3.52,3.0,23.28,-30.68
first_half,exit_cao_pan_or_hold,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,0.0,-7.4,-7.4,-1.0,-3.52,3.0,23.28,-30.68
first_half,exit_shou_cang_or_hold,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,2,50.0,15.64,-15.31,1.02,8.44,9.0,23.28,-7.64
second_half,exit_hold_line_disappear,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,5,40.0,2.42,-22.44,0.11,-1.58,15.0,-14.58,17.0
second_half,exit_shou_cang_disappear,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,5,40.0,-15.15,-16.55,-0.92,-2.92,3.4,-14.58,-0.57
second_half,exit_mu_ma_disappear,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,6,16.67,-18.16,-19.51,-0.93,-3.01,3.3,-14.58,-3.58
second_half,exit_cao_pan_disappear,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,6,33.33,-16.74,-18.11,-0.92,-2.72,3.0,-14.58,-2.16
second_half,exit_trend_down,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,0,0.0,-14.18,-36.18,0.0,0.0,0.0,-14.58,0.4
second_half,exit_hold_or_trend_down,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,5,40.0,2.42,-22.44,0.11,-1.58,15.0,-14.58,17.0
second_half,exit_mu_ma_or_hold,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,6,16.67,-18.16,-19.51,-0.93,-3.01,3.3,-14.58,-3.58
second_half,exit_cao_pan_or_hold,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,6,33.33,-16.74,-18.11,-0.92,-2.72,3.0,-14.58,-2.16
second_half,exit_shou_cang_or_hold,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,6,33.33,-18.77,-20.11,-0.93,-3.1,3.2,-14.58,-4.19
full,exit_hold_line_disappear,603986,兆易创新,存储芯片,5,60.0,99.87,-11.59,8.61,18.59,15.8,727.3,-627.43
full,exit_shou_cang_disappear,603986,兆易创新,存储芯片,5,80.0,143.66,-13.57,10.59,23.84,17.6,727.3,-583.64
full,exit_mu_ma_disappear,603986,兆易创新,存储芯片,5,80.0,96.39,-11.25,8.57,18.48,12.4,727.3,-630.91
full,exit_cao_pan_disappear,603986,兆易创新,存储芯片,4,75.0,177.66,-19.31,9.2,2.17,5.8,727.3,-549.64
full,exit_trend_down,603986,兆易创新,存储芯片,0,0.0,777.94,-27.85,0.0,0.0,0.0,727.3,50.64
full,exit_hold_or_trend_down,603986,兆易创新,存储芯片,5,60.0,99.87,-11.59,8.61,18.59,15.8,727.3,-627.43
full,exit_mu_ma_or_hold,603986,兆易创新,存储芯片,5,80.0,91.27,-11.25,8.11,17.52,10.8,727.3,-636.03
full,exit_cao_pan_or_hold,603986,兆易创新,存储芯片,5,80.0,91.27,-11.25,8.11,17.52,10.8,727.3,-636.03
full,exit_shou_cang_or_hold,603986,兆易创新,存储芯片,5,80.0,91.27,-11.25,8.11,17.52,10.8,727.3,-636.03
first_half,exit_hold_line_disappear,603986,兆易创新,存储芯片,4,50.0,11.92,-11.59,1.03,3.48,11.8,45.19,-33.27
first_half,exit_shou_cang_disappear,603986,兆易创新,存储芯片,4,75.0,32.63,-13.57,2.4,8.75,11.8,45.19,-12.56
first_half,exit_mu_ma_disappear,603986,兆易创新,存储芯片,4,75.0,7.11,-10.78,0.66,2.14,5.5,45.19,-38.08
first_half,exit_cao_pan_disappear,603986,兆易创新,存储芯片,4,75.0,7.22,-10.68,0.68,2.17,5.8,45.19,-37.97
first_half,exit_trend_down,603986,兆易创新,存储芯片,0,0.0,54.3,-27.85,0.0,0.0,0.0,45.19,9.11
first_half,exit_hold_or_trend_down,603986,兆易创新,存储芯片,4,50.0,11.92,-11.59,1.03,3.48,11.8,45.19,-33.27
first_half,exit_mu_ma_or_hold,603986,兆易创新,存储芯片,4,75.0,7.11,-10.78,0.66,2.14,5.5,45.19,-38.08
first_half,exit_cao_pan_or_hold,603986,兆易创新,存储芯片,4,75.0,7.11,-10.78,0.66,2.14,5.5,45.19,-38.08
first_half,exit_shou_cang_or_hold,603986,兆易创新,存储芯片,4,75.0,7.11,-10.78,0.66,2.14,5.5,45.19,-38.08
second_half,exit_hold_line_disappear,603986,兆易创新,存储芯片,1,100.0,78.58,-11.25,6.98,79.04,32.0,478.04,-399.46
second_half,exit_shou_cang_disappear,603986,兆易创新,存储芯片,1,100.0,83.72,-11.25,7.44,84.2,41.0,478.04,-394.32
second_half,exit_mu_ma_disappear,603986,兆易创新,存储芯片,1,100.0,83.35,-11.25,7.41,83.83,40.0,478.04,-394.69
second_half,exit_cao_pan_disappear,603986,兆易创新,存储芯片,0,0.0,158.96,-19.31,0.0,0.0,0.0,478.04,-319.08
second_half,exit_trend_down,603986,兆易创新,存储芯片,0,0.0,158.96,-19.31,0.0,0.0,0.0,478.04,-319.08
second_half,exit_hold_or_trend_down,603986,兆易创新,存储芯片,1,100.0,78.58,-11.25,6.98,79.04,32.0,478.04,-399.46
second_half,exit_mu_ma_or_hold,603986,兆易创新,存储芯片,1,100.0,78.58,-11.25,6.98,79.04,32.0,478.04,-399.46
second_half,exit_cao_pan_or_hold,603986,兆易创新,存储芯片,1,100.0,78.58,-11.25,6.98,79.04,32.0,478.04,-399.46
second_half,exit_shou_cang_or_hold,603986,兆易创新,存储芯片,1,100.0,78.58,-11.25,6.98,79.04,32.0,478.04,-399.46
full,exit_hold_line_disappear,300223,北京君正,存储芯片,4,100.0,103.59,-18.88,5.49,20.55,23.0,380.32,-276.73
full,exit_shou_cang_disappear,300223,北京君正,存储芯片,5,80.0,124.65,-18.67,6.68,19.95,14.6,380.32,-255.67
full,exit_mu_ma_disappear,300223,北京君正,存储芯片,5,80.0,149.92,-18.67,8.03,21.74,20.2,380.32,-230.4
full,exit_cao_pan_disappear,300223,北京君正,存储芯片,5,80.0,66.96,-18.67,3.59,13.01,9.0,380.32,-313.36
full,exit_trend_down,300223,北京君正,存储芯片,0,0.0,472.74,-34.8,0.0,0.0,0.0,380.32,92.42
full,exit_hold_or_trend_down,300223,北京君正,存储芯片,4,100.0,103.59,-18.88,5.49,20.55,23.0,380.32,-276.73
full,exit_mu_ma_or_hold,300223,北京君正,存储芯片,5,80.0,99.88,-18.88,5.29,15.99,13.0,380.32,-280.44
full,exit_cao_pan_or_hold,300223,北京君正,存储芯片,5,80.0,45.94,-18.88,2.43,9.03,4.6,380.32,-334.38
full,exit_shou_cang_or_hold,300223,北京君正,存储芯片,5,80.0,77.21,-18.88,4.09,13.35,8.6,380.32,-303.11
first_half,exit_hold_line_disappear,300223,北京君正,存储芯片,3,100.0,66.78,-18.88,3.54,19.93,23.0,20.79,45.99
first_half,exit_shou_cang_disappear,300223,北京君正,存储芯片,4,75.0,65.08,-18.67,3.49,15.83,8.5,20.79,44.29
first_half,exit_mu_ma_disappear,300223,北京君正,存储芯片,4,75.0,96.22,-18.67,5.15,20.25,16.8,20.79,75.43
first_half,exit_cao_pan_disappear,300223,北京君正,存储芯片,4,75.0,66.08,-18.67,3.54,16.06,10.5,20.79,45.29
first_half,exit_trend_down,300223,北京君正,存储芯片,0,0.0,44.27,-34.8,0.0,0.0,0.0,20.79,23.48
first_half,exit_hold_or_trend_down,300223,北京君正,存储芯片,3,100.0,66.78,-18.88,3.54,19.93,23.0,20.79,45.99
first_half,exit_mu_ma_or_hold,300223,北京君正,存储芯片,4,75.0,63.75,-18.88,3.38,14.38,10.5,20.79,42.96
first_half,exit_cao_pan_or_hold,300223,北京君正,存储芯片,4,75.0,45.18,-18.88,2.39,11.09,5.0,20.79,24.39
first_half,exit_shou_cang_or_hold,300223,北京君正,存储芯片,4,75.0,45.18,-18.88,2.39,11.09,5.0,20.79,24.39
second_half,exit_hold_line_disappear,300223,北京君正,存储芯片,1,100.0,22.07,-8.3,2.66,22.39,23.0,279.38,-257.31
second_half,exit_shou_cang_disappear,300223,北京君正,存储芯片,1,100.0,36.09,-13.76,2.62,36.44,39.0,279.38,-243.29
second_half,exit_mu_ma_disappear,300223,北京君正,存储芯片,1,100.0,27.37,-12.07,2.27,27.7,34.0,279.38,-252.01
second_half,exit_cao_pan_disappear,300223,北京君正,存储芯片,1,100.0,0.53,-3.48,0.15,0.79,3.0,279.38,-278.85
second_half,exit_trend_down,300223,北京君正,存储芯片,0,0.0,132.67,-13.76,0.0,0.0,0.0,279.38,-146.71
second_half,exit_hold_or_trend_down,300223,北京君正,存储芯片,1,100.0,22.07,-8.3,2.66,22.39,23.0,279.38,-257.31
second_half,exit_mu_ma_or_hold,300223,北京君正,存储芯片,1,100.0,22.07,-8.3,2.66,22.39,23.0,279.38,-257.31
second_half,exit_cao_pan_or_hold,300223,北京君正,存储芯片,1,100.0,0.53,-3.48,0.15,0.79,3.0,279.38,-278.85
second_half,exit_shou_cang_or_hold,300223,北京君正,存储芯片,1,100.0,22.07,-8.3,2.66,22.39,23.0,279.38,-257.31
full,exit_hold_line_disappear,301308,江波龙,存储芯片,3,66.67,39.71,-22.87,1.74,13.71,21.0,675.38,-635.67
full,exit_shou_cang_disappear,301308,江波龙,存储芯片,3,33.33,10.52,-21.74,0.48,4.03,15.3,675.38,-664.86
full,exit_mu_ma_disappear,301308,江波龙,存储芯片,4,25.0,4.1,-17.05,0.24,2.0,11.2,675.38,-671.28
full,exit_cao_pan_disappear,301308,江波龙,存储芯片,4,0.0,-17.06,-17.06,-1.0,-4.29,3.0,675.38,-692.44
full,exit_trend_down,301308,江波龙,存储芯片,0,0.0,740.22,-35.95,0.0,0.0,0.0,675.38,64.84
full,exit_hold_or_trend_down,301308,江波龙,存储芯片,3,66.67,39.71,-22.87,1.74,13.71,21.0,675.38,-635.67
full,exit_mu_ma_or_hold,301308,江波龙,存储芯片,4,25.0,3.44,-17.05,0.2,1.81,10.0,675.38,-671.94
full,exit_cao_pan_or_hold,301308,江波龙,存储芯片,4,0.0,-17.06,-17.06,-1.0,-4.29,3.0,675.38,-692.44
