strategy,window,basket_regime,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,bh_max_drawdown,vs_bh
bull_no_sell_until_ma20,2025-06-24_2026-07-03,basket_bull,300308,中际旭创,光模块,0,0.0,0.0,0.0,0.0,0.0,0.0,422.82,-21.31,-422.82
base_combo,2024-06-12_2025-06-23,basket_neutral,002916,深南电路,PCB,3,66.67,24.6,-20.4,1.21,8.5,29.7,17.57,-35.98,7.03
no_new_entries_in_down,2024-06-12_2025-06-23,basket_neutral,002916,深南电路,PCB,2,50.0,21.73,-20.4,1.07,11.44,32.5,17.57,-35.98,4.16
bull_delay_ma20,2024-06-12_2025-06-23,basket_neutral,002916,深南电路,PCB,3,66.67,24.6,-20.4,1.21,8.57,31.0,17.57,-35.98,7.03
bull_delay_ma55,2024-06-12_2025-06-23,basket_neutral,002916,深南电路,PCB,3,66.67,14.2,-22.4,0.63,5.86,37.0,17.57,-35.98,-3.37
adaptive_ma20_no_down,2024-06-12_2025-06-23,basket_neutral,002916,深南电路,PCB,2,50.0,21.72,-20.4,1.07,11.54,34.5,17.57,-35.98,4.15
adaptive_ma55_no_down,2024-06-12_2025-06-23,basket_neutral,002916,深南电路,PCB,2,50.0,11.57,-22.4,0.52,7.48,43.5,17.57,-35.98,-6.0
adaptive_shou_no_down,2024-06-12_2025-06-23,basket_neutral,002916,深南电路,PCB,2,50.0,22.73,-20.4,1.11,11.94,36.5,17.57,-35.98,5.16
bull_no_sell_until_ma20,2024-06-12_2025-06-23,basket_neutral,002916,深南电路,PCB,4,75.0,21.81,-20.6,1.06,6.68,22.0,17.57,-35.98,4.24
base_combo,2024-09-04_2025-09-15,basket_neutral,002916,深南电路,PCB,2,100.0,27.58,-9.75,2.83,13.79,23.0,139.77,-35.98,-112.19
no_new_entries_in_down,2024-09-04_2025-09-15,basket_neutral,002916,深南电路,PCB,1,100.0,24.64,-9.75,2.53,24.96,22.0,139.77,-35.98,-115.13
bull_delay_ma20,2024-09-04_2025-09-15,basket_neutral,002916,深南电路,PCB,2,100.0,28.43,-9.75,2.91,14.21,23.5,139.77,-35.98,-111.34
bull_delay_ma55,2024-09-04_2025-09-15,basket_neutral,002916,深南电路,PCB,2,100.0,28.43,-9.75,2.91,14.21,23.5,139.77,-35.98,-111.34
adaptive_ma20_no_down,2024-09-04_2025-09-15,basket_neutral,002916,深南电路,PCB,1,100.0,25.47,-9.75,2.61,25.8,23.0,139.77,-35.98,-114.3
adaptive_ma55_no_down,2024-09-04_2025-09-15,basket_neutral,002916,深南电路,PCB,1,100.0,25.47,-9.75,2.61,25.8,23.0,139.77,-35.98,-114.3
adaptive_shou_no_down,2024-09-04_2025-09-15,basket_neutral,002916,深南电路,PCB,1,100.0,25.47,-9.75,2.61,25.8,23.0,139.77,-35.98,-114.3
bull_no_sell_until_ma20,2024-09-04_2025-09-15,basket_neutral,002916,深南电路,PCB,2,100.0,30.3,-9.75,3.11,14.89,22.5,139.77,-35.98,-109.47
base_combo,2024-12-06_2025-12-16,basket_neutral,002916,深南电路,PCB,1,100.0,0.62,-15.41,0.04,2.63,24.0,93.51,-35.98,-92.89
no_new_entries_in_down,2024-12-06_2025-12-16,basket_neutral,002916,深南电路,PCB,0,0.0,-1.7,-6.81,0.0,0.0,0.0,93.51,-35.98,-95.21
bull_delay_ma20,2024-12-06_2025-12-16,basket_neutral,002916,深南电路,PCB,1,100.0,0.62,-15.41,0.04,2.63,24.0,93.51,-35.98,-92.89
bull_delay_ma55,2024-12-06_2025-12-16,basket_neutral,002916,深南电路,PCB,1,100.0,0.62,-15.41,0.04,2.63,24.0,93.51,-35.98,-92.89
adaptive_ma20_no_down,2024-12-06_2025-12-16,basket_neutral,002916,深南电路,PCB,0,0.0,-1.7,-6.81,0.0,0.0,0.0,93.51,-35.98,-95.21
adaptive_ma55_no_down,2024-12-06_2025-12-16,basket_neutral,002916,深南电路,PCB,0,0.0,-1.7,-6.81,0.0,0.0,0.0,93.51,-35.98,-95.21
adaptive_shou_no_down,2024-12-06_2025-12-16,basket_neutral,002916,深南电路,PCB,0,0.0,-1.7,-6.81,0.0,0.0,0.0,93.51,-35.98,-95.21
bull_no_sell_until_ma20,2024-12-06_2025-12-16,basket_neutral,002916,深南电路,PCB,1,100.0,2.77,-13.61,0.2,4.82,23.0,93.51,-35.98,-90.74
base_combo,2025-03-11_2026-03-20,basket_neutral,002916,深南电路,PCB,2,100.0,64.11,-14.9,4.3,30.35,43.5,210.51,-21.57,-146.4
no_new_entries_in_down,2025-03-11_2026-03-20,basket_neutral,002916,深南电路,PCB,1,100.0,7.85,-9.97,0.79,8.13,24.0,210.51,-21.57,-202.66
bull_delay_ma20,2025-03-11_2026-03-20,basket_neutral,002916,深南电路,PCB,2,100.0,144.27,-23.33,6.18,67.61,67.5,210.51,-21.57,-66.24
bull_delay_ma55,2025-03-11_2026-03-20,basket_neutral,002916,深南电路,PCB,2,100.0,147.71,-22.25,6.64,69.2,79.0,210.51,-21.57,-62.8
adaptive_ma20_no_down,2025-03-11_2026-03-20,basket_neutral,002916,深南电路,PCB,1,100.0,7.85,-9.97,0.79,8.13,24.0,210.51,-21.57,-202.66
adaptive_ma55_no_down,2025-03-11_2026-03-20,basket_neutral,002916,深南电路,PCB,1,100.0,7.85,-9.97,0.79,8.13,24.0,210.51,-21.57,-202.66
adaptive_shou_no_down,2025-03-11_2026-03-20,basket_neutral,002916,深南电路,PCB,1,100.0,7.85,-9.97,0.79,8.13,24.0,210.51,-21.57,-202.66
bull_no_sell_until_ma20,2025-03-11_2026-03-20,basket_neutral,002916,深南电路,PCB,2,100.0,18.84,-12.32,1.53,9.32,29.0,210.51,-21.57,-191.67
base_combo,2025-06-10_2026-06-18,basket_bull,002916,深南电路,PCB,2,100.0,47.49,-9.97,4.76,22.62,24.5,217.57,-26.89,-170.08
no_new_entries_in_down,2025-06-10_2026-06-18,basket_bull,002916,深南电路,PCB,2,100.0,47.49,-9.97,4.76,22.62,24.5,217.57,-26.89,-170.08
bull_delay_ma20,2025-06-10_2026-06-18,basket_bull,002916,深南电路,PCB,1,100.0,103.15,-11.38,9.07,8.13,24.0,217.57,-26.89,-114.42
bull_delay_ma55,2025-06-10_2026-06-18,basket_bull,002916,深南电路,PCB,1,100.0,103.15,-11.38,9.07,8.13,24.0,217.57,-26.89,-114.42
adaptive_ma20_no_down,2025-06-10_2026-06-18,basket_bull,002916,深南电路,PCB,1,100.0,103.15,-11.38,9.07,8.13,24.0,217.57,-26.89,-114.42
adaptive_ma55_no_down,2025-06-10_2026-06-18,basket_bull,002916,深南电路,PCB,1,100.0,103.15,-11.38,9.07,8.13,24.0,217.57,-26.89,-114.42
adaptive_shou_no_down,2025-06-10_2026-06-18,basket_bull,002916,深南电路,PCB,2,100.0,69.67,-11.38,6.12,32.93,33.5,217.57,-26.89,-147.9
bull_no_sell_until_ma20,2025-06-10_2026-06-18,basket_bull,002916,深南电路,PCB,1,100.0,101.47,-11.38,8.92,7.23,23.0,217.57,-26.89,-116.1
base_combo,2025-06-24_2026-07-03,basket_bull,002916,深南电路,PCB,2,100.0,47.49,-9.97,4.76,22.62,24.5,233.65,-26.89,-186.16
no_new_entries_in_down,2025-06-24_2026-07-03,basket_bull,002916,深南电路,PCB,2,100.0,47.49,-9.97,4.76,22.62,24.5,233.65,-26.89,-186.16
bull_delay_ma20,2025-06-24_2026-07-03,basket_bull,002916,深南电路,PCB,1,100.0,103.45,-11.38,9.09,8.13,24.0,233.65,-26.89,-130.2
bull_delay_ma55,2025-06-24_2026-07-03,basket_bull,002916,深南电路,PCB,1,100.0,103.45,-11.38,9.09,8.13,24.0,233.65,-26.89,-130.2
adaptive_ma20_no_down,2025-06-24_2026-07-03,basket_bull,002916,深南电路,PCB,1,100.0,103.45,-11.38,9.09,8.13,24.0,233.65,-26.89,-130.2
adaptive_ma55_no_down,2025-06-24_2026-07-03,basket_bull,002916,深南电路,PCB,1,100.0,103.45,-11.38,9.09,8.13,24.0,233.65,-26.89,-130.2
adaptive_shou_no_down,2025-06-24_2026-07-03,basket_bull,002916,深南电路,PCB,2,100.0,69.67,-11.38,6.12,32.93,33.5,233.65,-26.89,-163.98
bull_no_sell_until_ma20,2025-06-24_2026-07-03,basket_bull,002916,深南电路,PCB,1,100.0,101.77,-11.38,8.94,7.23,23.0,233.65,-26.89,-131.88
base_combo,2024-06-12_2025-06-23,basket_neutral,300394,天孚通信,光模块,2,50.0,73.25,-28.3,2.59,12.12,36.5,4.05,-55.69,69.2
no_new_entries_in_down,2024-06-12_2025-06-23,basket_neutral,300394,天孚通信,光模块,2,50.0,14.7,-28.3,0.52,12.12,36.5,4.05,-55.69,10.65
