period,strategy,entry,exit,min_hold_days,confirm_days,cooldown_days,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,4,0,61,61,148,60.81,55,36,38.03,-22.93,1.76,10.37
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,5,2,0,61,61,505,44.95,54,14,45.92,-28.04,1.75,-106.27
full,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,5,2,0,61,61,506,45.06,54,15,45.92,-27.4,1.75,-106.27
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,5,0,61,61,111,78.38,58,37,41.97,-23.98,1.75,12.13
full,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,15,1,0,61,61,353,58.92,53,15,37.49,-24.19,1.75,-172.16
full,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,20,3,0,61,61,341,63.05,53,16,46.18,-25.2,1.74,-134.95
full,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,5,3,0,61,61,414,51.21,53,16,43.99,-23.94,1.74,-189.07
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,5,4,0,61,61,490,46.53,55,19,47.65,-27.59,1.73,-87.01
full,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,5,4,0,61,61,490,46.33,55,18,47.65,-27.59,1.73,-98.11
first_half,tianma__shou_gone,tianma,shou_gone,30,2,0,61,58,112,75.0,54,37,45.57,-21.21,1.72,13.86
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,30,2,0,61,58,113,75.22,54,36,45.57,-21.21,1.72,13.19
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,4,0,61,61,131,74.05,58,39,44.41,-23.07,1.72,15.55
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,4,0,61,61,132,74.24,58,39,44.41,-23.07,1.72,15.55
first_half,tianma__shou_gone,tianma,shou_gone,30,4,0,61,58,106,76.42,53,39,44.41,-21.43,1.72,12.88
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,30,4,0,61,58,107,76.64,53,39,44.41,-21.43,1.72,12.88
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,20,3,0,61,61,148,62.84,58,39,42.27,-22.4,1.72,12.29
full,tianma__hold_gone,tianma,hold_gone,15,2,0,61,61,271,63.47,51,13,37.43,-23.19,1.72,-187.43
full,tianma__hold_or_trend_down,tianma,hold_or_trend_down,15,2,0,61,61,272,63.24,51,13,37.43,-23.19,1.72,-187.43
full,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,1,0,61,61,279,59.14,50,12,34.43,-20.31,1.72,-170.65
first_half,tianma__hold_gone,tianma,hold_gone,30,1,0,61,60,133,70.68,51,33,32.79,-18.96,1.72,1.35
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,30,1,0,61,60,134,70.9,52,32,32.79,-18.96,1.72,1.04
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,30,1,0,61,60,133,69.17,51,31,30.88,-18.67,1.72,0.33
first_half,tianma__shou_gone,tianma,shou_gone,30,3,0,61,58,111,74.78,52,38,45.39,-21.18,1.71,12.81
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,30,3,0,61,58,111,74.78,52,38,45.39,-21.18,1.71,12.81
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,3,0,61,58,128,60.94,54,39,41.69,-21.18,1.71,11.25
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,3,0,61,58,114,68.42,52,37,40.49,-21.2,1.71,10.94
full,tianma__shou_or_trend_down,tianma,shou_or_trend_down,20,1,0,61,61,254,62.2,52,16,39.42,-23.84,1.71,-140.08
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,3,0,61,58,142,54.93,51,39,38.56,-21.18,1.71,11.86
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,3,0,61,58,119,66.39,54,38,36.5,-21.18,1.71,10.94
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,2,0,61,61,126,76.19,60,41,43.98,-22.33,1.7,17.02
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,30,3,0,61,60,124,70.97,53,33,35.44,-20.54,1.7,1.58
first_half,tianma__hold_gone,tianma,hold_gone,30,3,0,61,60,123,72.36,52,34,34.91,-20.54,1.7,1.64
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,30,3,0,61,60,123,72.36,52,34,34.91,-20.54,1.7,1.64
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,30,1,0,61,60,135,67.41,51,30,30.56,-19.01,1.7,0.0
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,30,5,0,61,59,124,69.36,52,35,40.49,-21.43,1.69,10.65
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,5,5,0,61,61,488,46.31,53,19,53.73,-28.3,1.68,-89.73
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,1,0,61,61,144,68.75,58,37,41.15,-22.14,1.68,12.43
full,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,2,0,61,61,282,58.87,50,16,32.12,-21.3,1.68,-181.11
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,2,0,61,58,107,77.57,57,38,45.06,-21.36,1.67,17.02
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,1,0,61,61,135,71.85,58,37,41.15,-21.56,1.67,13.81
first_half,tianma__shou_gone,tianma,shou_gone,10,5,0,61,58,145,57.24,52,34,40.36,-21.54,1.67,7.1
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,10,5,0,61,58,145,57.24,52,34,40.36,-21.54,1.67,7.1
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,30,3,0,61,61,121,77.69,59,42,43.7,-22.24,1.65,15.48
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,2,0,61,61,165,61.82,56,31,35.29,-21.45,1.65,7.43
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,30,4,0,61,61,150,68.0,57,32,35.12,-21.56,1.65,2.64
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,30,2,0,61,59,131,67.18,51,31,38.1,-20.6,1.64,3.51
full,low_kdj_25__hold_gone,low_kdj_25,hold_gone,15,2,0,61,61,346,60.4,52,16,36.2,-25.89,1.64,-163.65
full,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,15,2,0,61,61,347,60.23,52,16,36.2,-25.89,1.64,-163.66
full,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,10,3,0,61,61,442,48.19,53,16,35.31,-26.56,1.64,-187.09
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,30,5,0,61,58,117,72.65,53,36,37.95,-19.01,1.63,5.08
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,2,0,61,60,146,64.38,50,31,30.55,-19.14,1.63,0.12
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,1,0,61,60,147,65.31,50,29,26.33,-18.32,1.63,-3.06
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,30,3,0,61,61,136,71.32,58,40,43.7,-22.24,1.62,15.01
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,30,3,0,61,61,136,71.32,58,40,43.49,-22.24,1.62,15.01
full,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,15,2,0,61,61,366,57.38,53,16,36.48,-24.86,1.62,-181.95
full,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,3,0,61,61,259,63.71,52,16,35.08,-23.18,1.62,-158.51
first_half,tianma__shou_gone,tianma,shou_gone,30,5,0,61,58,103,78.64,54,38,41.13,-21.74,1.61,10.69
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,30,5,0,61,58,103,78.64,54,38,41.13,-21.74,1.61,10.69
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,5,2,0,61,61,201,45.27,51,33,35.54,-21.43,1.61,5.0
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,20,4,0,61,61,169,62.72,55,29,30.55,-22.95,1.61,-1.15
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,20,4,0,61,61,169,62.72,55,29,30.55,-22.95,1.61,-1.15
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,4,0,61,61,197,52.79,51,29,27.75,-19.76,1.61,-2.69
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,10,4,0,61,61,197,52.79,51,29,27.75,-19.76,1.61,-2.69
first_half,tianma__shou_gone,tianma,shou_gone,30,1,0,61,58,114,72.81,53,35,41.15,-21.06,1.6,13.25
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,3,0,61,61,156,58.98,55,36,39.29,-22.19,1.6,8.44
full,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,4,0,61,61,276,61.59,54,13,37.39,-22.62,1.6,-179.04
full,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,4,0,61,61,279,57.35,52,16,35.3,-24.5,1.6,-172.71
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,30,4,0,61,61,141,72.34,57,33,34.11,-21.56,1.6,2.64
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,30,4,0,61,61,141,72.34,57,33,34.11,-21.56,1.6,2.64
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,15,1,0,61,61,196,53.06,53,29,31.26,-20.68,1.6,-0.76
full,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,10,5,0,61,61,315,50.79,54,17,43.19,-23.15,1.59,-128.84
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,1,0,61,58,112,74.11,54,38,39.59,-21.15,1.59,13.81
full,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,20,1,0,61,61,349,62.18,55,17,34.45,-25.2,1.59,-178.45
full,low_kdj_25__shou_gone,low_kdj_25,shou_gone,5,1,0,61,61,515,43.3,53,12,34.16,-27.41,1.59,-121.43
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,3,0,61,61,161,62.11,57,31,33.7,-21.92,1.59,3.66
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,3,0,61,58,104,77.88,55,39,42.52,-21.24,1.58,14.95
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,10,4,0,61,61,203,49.26,52,33,38.96,-23.07,1.58,8.72
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,10,4,0,61,61,204,49.51,52,33,38.96,-23.07,1.58,8.72
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,20,5,0,61,61,156,59.62,53,33,40.2,-23.07,1.57,6.24
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,20,5,0,61,61,156,59.62,54,33,40.2,-23.07,1.57,6.24
full,low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,1,0,61,61,399,54.13,52,15,33.16,-22.91,1.57,-195.74
first_half,tianma__hold_gone,tianma,hold_gone,15,3,0,61,60,143,67.83,51,30,25.3,-18.67,1.57,-0.44
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,15,3,0,61,60,143,67.83,51,30,25.3,-18.67,1.57,-0.44
full,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,30,1,0,61,61,301,62.79,50,15,42.3,-25.31,1.56,-127.37
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,30,4,0,61,57,98,78.57,54,39,40.55,-21.7,1.56,12.88
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,10,2,0,61,61,179,51.4,54,33,35.54,-21.74,1.56,9.58
full,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,15,2,0,61,61,277,59.93,51,12,30.97,-22.87,1.56,-177.62
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,15,4,0,61,61,177,60.45,51,26,29.73,-22.09,1.56,-4.63
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,15,4,0,61,61,177,60.45,51,27,29.73,-22.09,1.56,-4.63
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,1,0,61,60,155,61.94,47,24,21.41,-17.81,1.56,-15.95
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,20,4,0,61,57,107,69.16,52,37,39.29,-21.6,1.55,10.58
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,10,4,0,61,57,120,62.5,54,39,38.96,-21.56,1.55,11.13
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,15,4,0,61,57,111,67.57,54,37,38.85,-21.6,1.55,10.58
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,4,0,61,57,135,55.56,51,38,38.06,-21.66,1.55,11.13
full,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,20,4,0,61,61,257,63.04,54,17,37.4,-24.55,1.55,-140.8
first_half,tianma__shou_gone,tianma,shou_gone,10,4,0,61,58,148,56.08,51,36,33.64,-20.26,1.55,8.03
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,10,4,0,61,58,149,56.38,51,36,33.64,-20.26,1.55,8.03
first_half,low_kdj_25__hold_or_shou_gone,low_kdj_25,hold_or_shou_gone,30,1,0,61,61,166,65.06,56,32,34.44,-21.43,1.54,0.44
first_half,tianma__shou_gone,tianma,shou_gone,10,3,0,61,59,152,53.95,52,33,33.5,-20.43,1.54,2.85
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,10,3,0,61,59,152,53.95,52,33,33.5,-20.43,1.54,2.85
first_half,tianma__shou_gone,tianma,shou_gone,15,3,0,61,59,132,57.58,51,34,33.8,-19.33,1.53,7.56
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,15,3,0,61,59,132,57.58,51,34,33.8,-19.33,1.53,7.56
full,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,10,1,0,61,61,399,54.39,53,15,32.99,-22.91,1.53,-195.74
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,2,0,61,59,150,52.67,53,34,31.36,-20.06,1.53,7.05
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,5,4,0,61,61,268,45.52,47,29,30.53,-21.45,1.52,-0.15
first_half,tianma__shou_or_trend_down,tianma,shou_or_trend_down,30,1,0,61,58,120,71.67,53,34,38.87,-20.22,1.51,8.43
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,15,2,0,61,61,182,52.2,53,33,36.02,-21.66,1.51,8.35
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,15,2,0,61,61,183,52.46,53,32,36.02,-21.66,1.51,7.08
first_half,low_kdj_25__hold_and_shou_gone,low_kdj_25,hold_and_shou_gone,15,2,0,61,61,161,57.76,54,34,34.29,-22.65,1.51,10.97
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,20,5,0,61,61,163,63.19,58,35,33.66,-21.49,1.51,3.22
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,20,5,0,61,61,163,63.19,58,35,33.66,-21.49,1.51,3.22
first_half,low_kdj_25__mu_or_shou_gone,low_kdj_25,mu_or_shou_gone,15,5,0,61,61,197,52.28,55,31,33.03,-21.66,1.51,0.38
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,15,5,0,61,61,171,60.82,55,32,29.92,-21.43,1.51,0.75
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,15,5,0,61,61,171,60.82,55,32,29.92,-21.43,1.51,0.75
full,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,15,1,0,61,61,282,60.28,48,13,29.39,-20.31,1.51,-174.29
first_half,tianma__hold_gone,tianma,hold_gone,5,4,0,61,59,166,56.02,48,31,26.14,-19.47,1.51,0.05
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,5,4,0,61,59,166,56.02,48,31,26.14,-19.47,1.51,0.05
full,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,10,4,0,61,61,317,51.1,53,15,36.75,-23.02,1.5,-190.87
first_half,tianma__hold_gone,tianma,hold_gone,30,5,0,61,58,115,73.91,55,36,36.23,-19.01,1.5,3.46
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,30,5,0,61,58,115,73.91,55,36,36.23,-19.01,1.5,3.46
first_half,tianma__mu_or_shou_gone,tianma,mu_or_shou_gone,30,4,0,61,59,127,67.72,52,33,36.23,-21.25,1.5,9.07
first_half,tianma__hold_gone,tianma,hold_gone,30,4,0,61,58,119,73.11,53,35,34.11,-20.43,1.5,2.64
first_half,tianma__hold_or_shou_gone,tianma,hold_or_shou_gone,30,4,0,61,58,121,71.9,53,33,34.11,-20.43,1.5,1.67
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,30,4,0,61,58,119,73.11,53,35,34.11,-20.43,1.5,2.64
first_half,tianma__hold_and_shou_gone,tianma,hold_and_shou_gone,5,1,0,61,59,161,50.31,50,31,32.81,-20.64,1.5,1.16
first_half,low_kdj_25__hold_gone,low_kdj_25,hold_gone,10,5,0,61,61,188,54.26,54,32,30.74,-19.76,1.5,3.5
first_half,low_kdj_25__hold_or_trend_down,low_kdj_25,hold_or_trend_down,10,5,0,61,61,188,54.26,54,32,30.74,-19.76,1.5,1.7
first_half,tianma__hold_gone,tianma,hold_gone,5,3,0,61,60,168,57.14,47,28,25.04,-17.89,1.5,-2.35
first_half,tianma__hold_or_trend_down,tianma,hold_or_trend_down,5,3,0,61,60,168,57.14,47,28,25.04,-17.89,1.5,-2.35
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,5,3,0,61,61,273,43.59,48,30,30.6,-21.45,1.49,0.0
first_half,low_kdj_25__shou_gone,low_kdj_25,shou_gone,15,4,0,61,61,172,54.07,55,35,37.18,-22.2,1.48,10.3
first_half,low_kdj_25__shou_or_trend_down,low_kdj_25,shou_or_trend_down,15,4,0,61,61,173,54.34,55,35,37.18,-22.2,1.48,10.3
