date,equity,cash,positions
2025-05-29,1773402.9018592755,1023637.6221565014,2
2025-05-30,1744806.2020084495,1023637.6221565014,2
2025-06-03,1745008.077041429,1023637.6221565014,2
2025-06-04,1758627.5824921671,1023637.6221565014,2
2025-06-05,1775068.3568523868,1412709.5217990903,1
2025-06-06,1800555.2951961416,1052504.809534673,2
2025-06-09,1803382.9682758767,1052504.809534673,2
2025-06-10,1777970.8933799998,1052504.809534673,2
2025-06-11,1770724.3924176341,1052504.809534673,2
2025-06-12,1772265.6254242468,1052504.809534673,2
2025-06-13,1750135.6639861262,1052504.809534673,2
2025-06-16,1756958.3613936258,1052504.809534673,2
2025-06-17,1754125.403757817,1380911.2740728161,1
2025-06-18,1765295.1232871963,1027760.430195969,2
2025-06-19,1746355.9900605073,678398.3980555111,3
2025-06-20,1732335.7828498892,331841.1365975541,4
2025-06-23,1752642.8081358902,331841.1365975541,4
2025-06-24,1799560.1914476245,0.0,5
2025-06-25,1832152.305756505,0.0,5
2025-06-26,1805696.6499393433,0.0,5
2025-06-27,1874217.0967897251,0.0,5
2025-06-30,1894806.8631272991,0.0,5
2025-07-01,1913190.5966334757,0.0,5
2025-07-02,1856811.768218151,0.0,5
2025-07-03,1871082.166185593,0.0,5
2025-07-04,1838253.440906308,0.0,5
2025-07-07,1829873.8387793826,373559.8922696031,4
2025-07-08,1861099.2287554198,373559.8922696031,4
2025-07-09,1841671.5174108169,373559.8922696031,4
2025-07-10,1834276.7092437283,373559.8922696031,4
2025-07-11,1848395.9911650068,373559.8922696031,4
2025-07-14,1868684.8843099459,373559.8922696031,4
2025-07-15,1884944.6875413016,373559.8922696031,4
2025-07-16,1886954.8212577887,373559.8922696031,4
2025-07-17,1893977.4659947413,373559.8922696031,4
2025-07-18,1891781.7683326553,373559.8922696031,4
2025-07-21,1884056.4161344129,373559.8922696031,4
2025-07-22,1881348.0255372166,373559.8922696031,4
2025-07-23,1887313.171315123,373559.8922696031,4
2025-07-24,1906098.9384347342,373559.8922696031,4
2025-07-25,1924786.4478106005,373559.8922696031,4
2025-07-28,1953462.5362101344,373559.8922696031,4
2025-07-29,1963367.1698147245,373559.8922696031,4
2025-07-30,1964534.4682282042,373559.8922696031,4
2025-07-31,1989135.1607435986,373559.8922696031,4
2025-08-01,1950633.442791841,373559.8922696031,4
2025-08-04,1969558.944994055,373559.8922696031,4
2025-08-05,1979947.757482177,373559.8922696031,4
2025-08-06,2003306.1815808993,773871.5210837842,3
2025-08-07,1978919.9464705843,773871.5210837842,3
2025-08-08,1990367.5190092733,773871.5210837842,3
2025-08-11,2015276.9218050062,773871.5210837842,3
2025-08-12,2104631.93813321,773871.5210837842,3
2025-08-13,2155424.1650440744,773871.5210837842,3
2025-08-14,2124417.264285509,773871.5210837842,3
2025-08-15,2205255.7471056944,773871.5210837842,3
2025-08-18,2316592.519709963,773871.5210837842,3
2025-08-19,2252847.2856826195,773871.5210837842,3
2025-08-20,2272580.1140958006,773871.5210837842,3
2025-08-21,2205324.912939105,773871.5210837842,3
2025-08-22,2290583.581800345,773871.5210837842,3
2025-08-25,2302027.8465502807,773871.5210837842,3
2025-08-26,2266908.2536656866,773871.5210837842,3
2025-08-27,2269979.9003720013,773871.5210837842,3
2025-08-28,2372858.106000466,773871.5210837842,3
2025-08-29,2426717.778384546,773871.5210837842,3
2025-09-01,2460998.4235735484,773871.5210837842,3
2025-09-02,2362368.217288601,773871.5210837842,3
2025-09-03,2402376.683767028,773871.5210837842,3
2025-09-04,2261153.548084669,773871.5210837842,3
2025-09-05,2307653.36801665,773871.5210837842,3
2025-09-08,2294423.634037772,773871.5210837842,3
2025-09-09,2241231.8684355663,773871.5210837842,3
2025-09-10,2301700.1352488436,773871.5210837842,3
2025-09-11,2350871.476403621,773871.5210837842,3
2025-09-12,2327355.070435653,773871.5210837842,3
2025-09-15,2335508.599739659,773871.5210837842,3
2025-09-16,2380154.817544979,773871.5210837842,3
2025-09-17,2387895.115818289,773871.5210837842,3
2025-09-18,2479005.3148220265,773871.5210837842,3
2025-09-19,2447658.4537659558,773871.5210837842,3
2025-09-22,2510528.112365523,773871.5210837842,3
2025-09-23,2460379.6443745643,773871.5210837842,3
2025-09-24,2514728.439736866,773871.5210837842,3
2025-09-25,2552569.521400635,263224.84866882925,4
2025-09-26,2463171.629754087,263224.84866882925,4
2025-09-29,2503890.9809661782,263224.84866882925,4
2025-09-30,2553953.478446637,263224.84866882925,4
2025-10-09,2667421.896889463,263224.84866882925,4
2025-10-10,2652525.8607472917,263224.84866882925,4
2025-10-13,2637465.115903935,936178.8956570383,3
2025-10-14,2510651.753527499,936178.8956570383,3
2025-10-15,2509461.0460988474,936178.8956570383,3
2025-10-16,2509891.753252609,1399559.830892675,2
2025-10-17,2424397.109775443,1399559.830892675,2
