strategy,window,regime,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,bh_max_drawdown,vs_bh
candidate_low25_hold20_confirm4,2025-06-10_2026-06-18,down_negative,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,3,0.0,-22.45,-23.28,-0.96,-7.55,36.3,-27.99,-43.47,5.54
candidate_tianma_hold20_confirm4,2025-06-10_2026-06-18,down_negative,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,3,33.33,-14.11,-23.28,-0.61,-4.03,29.7,-27.99,-43.47,13.88
control_tianma_fixed20,2025-06-10_2026-06-18,down_negative,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,3,66.67,-7.31,-20.81,-0.35,-1.46,20.0,-27.99,-43.47,20.68
candidate_low25_hold20_confirm4,2025-06-24_2026-07-03,down_negative,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,4,25.0,-3.17,-32.18,-0.1,-3.0,32.2,-14.58,-43.47,11.41
candidate_tianma_hold20_confirm4,2025-06-24_2026-07-03,down_negative,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,3,33.33,-2.82,-26.41,-0.11,-4.03,29.7,-14.58,-43.47,11.76
control_tianma_fixed20,2025-06-24_2026-07-03,down_negative,603501,韦尔股份(豪威),算力芯片/GPU/CPU设计,3,66.67,4.87,-20.81,0.23,-1.46,20.0,-14.58,-43.47,19.45
candidate_low25_hold20_confirm4,2024-06-12_2025-06-23,up_20_to_80pct,603986,兆易创新,存储芯片,4,75.0,65.68,-22.95,2.86,16.04,27.5,45.19,-27.85,20.49
candidate_tianma_hold20_confirm4,2024-06-12_2025-06-23,up_20_to_80pct,603986,兆易创新,存储芯片,3,100.0,69.84,-18.49,3.78,20.75,37.3,45.19,-27.85,24.65
control_tianma_fixed20,2024-06-12_2025-06-23,up_20_to_80pct,603986,兆易创新,存储芯片,4,75.0,71.55,-15.61,4.58,16.44,20.0,45.19,-27.85,26.36
candidate_low25_hold20_confirm4,2024-09-04_2025-09-15,bull_80pct_plus,603986,兆易创新,存储芯片,2,100.0,54.08,-13.57,3.98,25.86,30.0,113.24,-27.85,-59.16
candidate_tianma_hold20_confirm4,2024-09-04_2025-09-15,bull_80pct_plus,603986,兆易创新,存储芯片,2,100.0,54.08,-13.57,3.98,25.86,30.0,113.24,-27.85,-59.16
control_tianma_fixed20,2024-09-04_2025-09-15,bull_80pct_plus,603986,兆易创新,存储芯片,2,100.0,47.25,-13.57,3.48,21.77,20.0,113.24,-27.85,-65.99
candidate_low25_hold20_confirm4,2024-12-06_2025-12-16,up_20_to_80pct,603986,兆易创新,存储芯片,1,100.0,6.82,-12.63,0.54,7.1,29.0,52.05,-27.85,-45.23
candidate_tianma_hold20_confirm4,2024-12-06_2025-12-16,up_20_to_80pct,603986,兆易创新,存储芯片,1,100.0,6.82,-12.63,0.54,7.1,29.0,52.05,-27.85,-45.23
control_tianma_fixed20,2024-12-06_2025-12-16,up_20_to_80pct,603986,兆易创新,存储芯片,1,100.0,16.18,-5.7,2.84,16.49,20.0,52.05,-27.85,-35.87
candidate_low25_hold20_confirm4,2025-03-11_2026-03-20,bull_80pct_plus,603986,兆易创新,存储芯片,0,0.0,0.0,0.0,0.0,0.0,0.0,130.14,-27.53,-130.14
candidate_tianma_hold20_confirm4,2025-03-11_2026-03-20,bull_80pct_plus,603986,兆易创新,存储芯片,0,0.0,0.0,0.0,0.0,0.0,0.0,130.14,-27.53,-130.14
control_tianma_fixed20,2025-03-11_2026-03-20,bull_80pct_plus,603986,兆易创新,存储芯片,0,0.0,0.0,0.0,0.0,0.0,0.0,130.14,-27.53,-130.14
candidate_low25_hold20_confirm4,2025-06-10_2026-06-18,bull_80pct_plus,603986,兆易创新,存储芯片,1,100.0,82.73,-11.25,7.35,83.21,34.0,426.06,-27.53,-343.33
