date,basket_index,ma60,ret60,bull,down,up
2024-11-08,1.390072186186444,1.0492415628697802,0.5124313416667847,True,False,False
2024-11-11,1.4479777596682615,1.0582245184724397,0.5929340869602062,True,False,False
2024-11-12,1.4327319680022554,1.0668881680812967,0.5694069220046216,True,False,False
2024-11-13,1.4449314663868493,1.0758163695948235,0.5891650814975868,True,False,False
2024-11-14,1.378778066676402,1.0834472939970292,0.4971704059250124,True,False,False
2024-11-15,1.3302101700427675,1.0903018069041117,0.4475493992162818,True,False,False
2024-11-18,1.2722896218964121,1.0960103369367415,0.3683802674281931,True,False,False
2024-11-19,1.3112096651356797,1.1022454294603596,0.3992145012922721,True,False,False
2024-11-20,1.33527922801643,1.1089336528826716,0.42965684873910726,True,False,False
2024-11-21,1.3396119615674253,1.1159757632468856,0.46072770281588604,True,False,False
2024-11-22,1.289846617052593,1.122225185555792,0.40985136250872634,True,False,False
2024-11-25,1.2676152408382926,1.128289534388497,0.4026104501892773,True,False,False
2024-11-26,1.256163407807528,1.1342110184868721,0.3943824587828173,True,False,False
2024-11-27,1.2913006132513023,1.1407627571190708,0.437659696416534,True,False,False
2024-11-28,1.2797365988193181,1.1474106555629515,0.45282188719192806,True,False,False
2024-11-29,1.305883804591983,1.1543767784437036,0.4707282779110351,True,False,False
2024-12-02,1.3378772230947091,1.1617501300572175,0.4940400797135194,True,False,False
2024-12-03,1.3206925911863856,1.1683750431888311,0.4305629697995905,True,False,False
2024-12-04,1.301809164581223,1.1751616224180832,0.45516230101759936,True,False,False
2024-12-05,1.320205293574075,1.1821350692818782,0.46396930167530215,True,False,False
2024-12-06,1.33265917310677,1.1896064755601985,0.5068941115466383,True,False,False
2024-12-09,1.3166227557221108,1.1967342109125942,0.4810843885289984,True,False,False
2024-12-10,1.3150823442855062,1.2042382885297502,0.5206117444509748,True,False,False
2024-12-11,1.3446409169163756,1.2122705247302494,0.5586303513755422,True,False,False
2024-12-12,1.3547288781208175,1.2201999371870589,0.5412789109187386,True,False,False
2024-12-13,1.3401088181603211,1.227917821041037,0.5279978743673388,True,False,False
2024-12-16,1.3427602688848994,1.2357690114174815,0.5404123553801756,True,False,False
2024-12-17,1.328511078900104,1.2434864117352569,0.5350221176015137,True,False,False
2024-12-18,1.347280481914787,1.25164219016183,0.5703781796459102,True,False,False
2024-12-19,1.4232329611351213,1.260982028527927,0.649469861058285,True,False,False
2024-12-20,1.4571444138621992,1.2708936816000964,0.6895500884767287,True,False,False
2024-12-23,1.441917937403606,1.2805003838584497,0.6659637342660518,True,False,False
2024-12-24,1.4616110977556491,1.289783857608563,0.6157492585271704,True,False,False
2024-12-25,1.4555701167028106,1.2988520883793937,0.5969369295587237,True,False,False
2024-12-26,1.5356211645737303,1.3087140016051515,0.6268786944417803,True,False,False
2024-12-27,1.5055916230806947,1.3170510476463497,0.49755147794113697,True,False,False
2024-12-30,1.4937514370422353,1.323083575228999,0.31980184188825156,True,False,False
2024-12-31,1.418575960647729,1.3253995868445791,0.10859568565289202,False,False,True
2025-01-02,1.3771727283765345,1.32817870825404,0.1377592361599207,False,False,True
2025-01-03,1.314361942090877,1.3305421034761342,0.12093532742931234,False,False,False
2025-01-06,1.3035312457120507,1.3336099701252475,0.1644293880984724,False,False,False
2025-01-07,1.3766161259567762,1.3370103221545735,0.17399112313227416,False,False,True
2025-01-08,1.379463324195623,1.3406678725564432,0.18918196165704515,False,False,True
2025-01-09,1.3928806923016388,1.3449542726476622,0.22645483468949368,True,False,False
2025-01-10,1.3402254261830746,1.3479266055310872,0.15349187178286527,False,False,False
2025-01-13,1.3288533467502708,1.3493414975955802,0.06824458660808852,False,False,False
2025-01-14,1.4062890794768732,1.3514213807637117,0.09738070300893131,False,False,True
2025-01-15,1.3912062554241877,1.353182348725942,0.08218912333854456,False,False,True
2025-01-16,1.417006328710619,1.3555623454519936,0.11206959056072208,False,False,True
2025-01-17,1.4213849371772818,1.3578732488346685,0.10809299197556088,False,False,True
2025-01-20,1.4572941007612636,1.3605651589369174,0.12464667546039876,False,False,True
2025-01-21,1.4858689149587418,1.3635076140423292,0.13483876318889032,False,False,True
2025-01-22,1.511804064351835,1.3670959220852774,0.16606059056233513,False,False,True
2025-01-23,1.4806387647002388,1.3698994596660192,0.1281688944724073,False,False,True
2025-01-24,1.5131724153947723,1.3729349918413818,0.1368342530461386,False,False,True
2025-01-27,1.4342067080617376,1.3757172394772752,0.13172774110440488,False,False,True
2025-02-05,1.420166738022584,1.3778075449611755,0.09686694972037291,False,False,True
2025-02-06,1.4646735918694005,1.3797726017771539,0.08754530687920736,False,False,True
2025-02-07,1.5055915757758573,1.3825612037217117,0.12502367545895132,False,False,True
2025-02-10,1.535454667905945,1.3854582841791665,0.12765938457159298,False,False,True
2025-02-11,1.5252120866194105,1.3877106158530492,0.09721790118232088,False,False,True
2025-02-12,1.5704087076879425,1.3897511316533773,0.08455305836170468,False,False,True
