strategy,segment,stocks,stocks_with_trades,trades,weighted_win_rate,positive_stocks,beat_bh_stocks,median_return,median_drawdown,median_calmar,median_vs_bh
adaptive_ma55_no_down,算力芯片/GPU/CPU设计,12,12,26,34.62,3,7,-4.58,-20.86,-0.4,3.04
adaptive_shou_no_down,算力芯片/GPU/CPU设计,12,12,27,44.44,4,9,-4.58,-19.56,-0.4,9.24
no_new_entries_in_down,算力芯片/GPU/CPU设计,12,12,27,37.04,1,7,-4.58,-22.48,-0.4,4.9
bull_no_sell_until_ma20,算力芯片/GPU/CPU设计,12,12,35,40.0,4,8,-10.59,-25.25,-0.41,4.07
bull_no_sell_until_ma20,连接器,12,12,21,28.57,5,4,-5.56,-16.62,-0.46,-9.0
base_combo,连接器,12,12,21,38.09,5,4,-7.12,-17.64,-0.5,-9.54
bull_delay_ma20,连接器,12,12,21,38.09,5,4,-7.12,-17.84,-0.5,-10.12
bull_delay_ma55,连接器,12,12,17,23.53,4,6,-7.62,-17.84,-0.5,-5.69
no_new_entries_in_down,高速铜缆/铜连接,24,18,31,29.03,1,3,-13.95,-19.57,-0.54,-33.55
adaptive_ma20_no_down,高速铜缆/铜连接,24,18,33,21.21,1,3,-14.14,-19.57,-0.56,-33.55
adaptive_ma55_no_down,高速铜缆/铜连接,24,18,32,15.62,2,3,-18.02,-25.91,-0.58,-28.99
adaptive_shou_no_down,高速铜缆/铜连接,24,18,33,21.21,1,3,-14.23,-21.52,-0.61,-34.3
