strategy,code,name,segment,n_trades,win_rate,total_return,max_drawdown,calmar,avg_return,avg_hold_days,bh_return,vs_bh
v1_tianma_exit,002409,雅克科技,HBM,6,33.33,20.78,-23.19,0.9,4.46,13.2,256.95,-236.17
tianma_hold_10,002409,雅克科技,HBM,5,60.0,-14.0,-21.6,-0.65,-2.48,10.0,256.95,-270.95
tianma_hold_20,002409,雅克科技,HBM,5,80.0,46.84,-16.31,2.87,8.56,20.0,256.95,-210.11
macd_zero_hold_10,002409,雅克科技,HBM,16,56.25,72.64,-32.6,2.23,4.48,10.0,256.95,-184.31
kdj_any_hold_10,002409,雅克科技,HBM,16,43.75,-10.25,-45.12,-0.23,0.13,10.0,256.95,-267.2
random_same_freq_hold_10,002409,雅克科技,HBM,6,33.33,-0.02,-19.13,-0.0,0.29,10.0,256.95,-256.97
v1_tianma_exit,600584,长电科技,先进封装/封测,6,66.67,131.47,-15.69,8.38,18.57,18.8,178.77,-47.3
tianma_hold_10,600584,长电科技,先进封装/封测,6,83.33,32.91,-17.11,1.92,5.71,10.0,178.77,-145.86
tianma_hold_20,600584,长电科技,先进封装/封测,6,100.0,109.67,-17.11,6.41,14.03,20.0,178.77,-69.1
macd_zero_hold_10,600584,长电科技,先进封装/封测,11,45.45,0.67,-29.05,0.02,0.77,10.0,178.77,-178.1
kdj_any_hold_10,600584,长电科技,先进封装/封测,14,57.14,-4.37,-31.93,-0.14,0.25,10.0,178.77,-183.14
random_same_freq_hold_10,600584,长电科技,先进封装/封测,5,40.0,-14.34,-21.42,-0.67,-2.67,10.0,178.77,-193.11
v1_tianma_exit,002156,通富微电,先进封装/封测,7,71.43,42.69,-18.67,2.29,6.06,17.4,193.7,-151.01
tianma_hold_10,002156,通富微电,先进封装/封测,6,66.67,1.59,-11.24,0.14,0.67,10.0,193.7,-192.11
tianma_hold_20,002156,通富微电,先进封装/封测,6,100.0,114.04,-8.51,13.4,14.36,20.0,193.7,-79.66
macd_zero_hold_10,002156,通富微电,先进封装/封测,10,30.0,-23.52,-32.11,-0.73,-0.81,10.0,193.7,-217.22
kdj_any_hold_10,002156,通富微电,先进封装/封测,13,46.15,-0.01,-38.22,-0.0,2.01,10.0,193.7,-193.71
random_same_freq_hold_10,002156,通富微电,先进封装/封测,5,40.0,-16.17,-29.34,-0.55,-3.04,10.0,193.7,-209.87
v1_tianma_exit,002185,华天科技,先进封装/封测,7,42.86,114.65,-21.95,5.22,14.47,20.7,120.44,-5.79
tianma_hold_10,002185,华天科技,先进封装/封测,6,66.67,3.76,-11.03,0.34,1.09,10.0,120.44,-116.68
tianma_hold_20,002185,华天科技,先进封装/封测,6,50.0,61.79,-13.19,4.68,9.22,20.0,120.44,-58.65
macd_zero_hold_10,002185,华天科技,先进封装/封测,12,33.33,-28.31,-28.31,-1.0,-1.88,10.0,120.44,-148.75
kdj_any_hold_10,002185,华天科技,先进封装/封测,15,40.0,-36.36,-45.73,-0.8,-2.34,10.0,120.44,-156.8
random_same_freq_hold_10,002185,华天科技,先进封装/封测,8,37.5,-5.34,-18.97,-0.28,-0.27,10.0,120.44,-125.78
v1_tianma_exit,603005,晶方科技,先进封装/封测,5,60.0,76.75,-24.82,3.09,13.8,25.0,111.6,-34.85
tianma_hold_10,603005,晶方科技,先进封装/封测,5,40.0,-0.12,-11.88,-0.01,0.39,10.0,111.6,-111.72
tianma_hold_20,603005,晶方科技,先进封装/封测,5,100.0,68.1,-7.84,8.69,11.71,20.0,111.6,-43.5
macd_zero_hold_10,603005,晶方科技,先进封装/封测,11,45.45,-31.55,-32.29,-0.98,-1.69,10.0,111.6,-143.15
kdj_any_hold_10,603005,晶方科技,先进封装/封测,14,57.14,-11.02,-29.28,-0.38,-0.39,10.0,111.6,-122.62
random_same_freq_hold_10,603005,晶方科技,先进封装/封测,5,20.0,-10.73,-13.25,-0.81,-1.94,10.0,111.6,-122.33
v1_tianma_exit,002371,北方华创,半导体设备,5,20.0,-0.22,-24.87,-0.01,0.85,7.4,229.61,-229.83
tianma_hold_10,002371,北方华创,半导体设备,3,0.0,-14.27,-19.92,-0.72,-4.69,10.0,229.61,-243.88
tianma_hold_20,002371,北方华创,半导体设备,3,66.67,27.05,-12.85,2.11,9.62,20.0,229.61,-202.56
macd_zero_hold_10,002371,北方华创,半导体设备,16,50.0,45.85,-20.7,2.22,3.24,10.0,229.61,-183.76
kdj_any_hold_10,002371,北方华创,半导体设备,17,41.18,19.93,-24.52,0.81,1.72,10.0,229.61,-209.68
random_same_freq_hold_10,002371,北方华创,半导体设备,6,66.67,21.74,-16.67,1.3,4.46,10.0,229.61,-207.87
v1_tianma_exit,300054,鼎龙股份,半导体材料,4,25.0,-17.3,-19.03,-0.91,-4.34,8.5,334.99,-352.29
tianma_hold_10,300054,鼎龙股份,半导体材料,4,25.0,-19.01,-22.5,-0.84,-4.81,10.0,334.99,-354.0
tianma_hold_20,300054,鼎龙股份,半导体材料,4,50.0,17.49,-16.08,1.09,6.12,20.0,334.99,-317.5
macd_zero_hold_10,300054,鼎龙股份,半导体材料,14,42.86,0.37,-31.91,0.01,0.7,10.0,334.99,-334.62
kdj_any_hold_10,300054,鼎龙股份,半导体材料,16,50.0,18.02,-33.46,0.54,1.73,10.0,334.99,-316.97
random_same_freq_hold_10,300054,鼎龙股份,半导体材料,6,83.33,42.73,-15.94,2.68,7.04,10.0,334.99,-292.26
v1_tianma_exit,300502,新易盛,光模块,4,75.0,9.52,-35.58,0.27,5.16,17.2,975.45,-965.93
tianma_hold_10,300502,新易盛,光模块,5,80.0,40.4,-15.95,2.53,7.78,10.0,975.45,-935.05
tianma_hold_20,300502,新易盛,光模块,4,50.0,4.95,-41.39,0.12,4.03,20.0,975.45,-970.5
macd_zero_hold_10,300502,新易盛,光模块,16,68.75,49.47,-48.39,1.02,4.58,10.0,975.45,-925.98
kdj_any_hold_10,300502,新易盛,光模块,18,50.0,-37.5,-49.98,-0.75,-1.33,10.0,975.45,-1012.95
random_same_freq_hold_10,300502,新易盛,光模块,5,80.0,-2.17,-31.95,-0.07,0.75,10.0,975.45,-977.62
v1_tianma_exit,002281,光迅科技,光模块,5,60.0,19.34,-20.08,0.96,4.6,15.6,568.86,-549.52
tianma_hold_10,002281,光迅科技,光模块,4,50.0,-8.08,-18.97,-0.43,-1.42,10.0,568.86,-576.94
tianma_hold_20,002281,光迅科技,光模块,4,75.0,25.5,-19.14,1.33,7.18,20.0,568.86,-543.36
macd_zero_hold_10,002281,光迅科技,光模块,14,57.14,21.91,-24.66,0.89,2.51,10.0,568.86,-546.95
